lang,method,min_df,max_features,lr,batch_size,vocab_size,dev_acc
eng,bow,0,10000.0,0.1,32,10000,0.8559321761131287
eng,bow,0,10000.0,0.1,128,10000,0.8559321761131287
eng,bow,0,10000.0,1.0,32,10000,0.8644067645072937
eng,bow,0,10000.0,1.0,128,10000,0.8644067645072937
eng,bow,0,,0.1,32,604803,0.8644067645072937
eng,bow,0,,0.1,128,604803,0.8644067645072937
eng,bow,0,,1.0,32,604803,0.8728813529014587
eng,bow,0,,1.0,128,604803,0.8707627058029175
eng,bow,3,10000.0,0.1,32,10000,0.8686440587043762
eng,bow,3,10000.0,0.1,128,10000,0.8601694703102112
eng,bow,3,10000.0,1.0,32,10000,0.8728813529014587
eng,bow,3,10000.0,1.0,128,10000,0.8644067645072937
eng,bow,3,,0.1,32,104024,0.8728813529014587
eng,bow,3,,0.1,128,104024,0.8771186470985413
eng,bow,3,,1.0,32,104024,0.8728813529014587
eng,bow,3,,1.0,128,104024,0.866525411605835
eng,bow,5,10000.0,0.1,32,10000,0.8622881174087524
eng,bow,5,10000.0,0.1,128,10000,0.8580508232116699
eng,bow,5,10000.0,1.0,32,10000,0.8792372941970825
eng,bow,5,10000.0,1.0,128,10000,0.8495762944221497
eng,bow,5,,0.1,32,58210,0.866525411605835
eng,bow,5,,0.1,128,58210,0.8622881174087524
eng,bow,5,,1.0,32,58210,0.8728813529014587
eng,bow,5,,1.0,128,58210,0.8622881174087524
eng,bow,10,10000.0,0.1,32,10000,0.8538135886192322
eng,bow,10,10000.0,0.1,128,10000,0.8601694703102112
eng,bow,10,10000.0,1.0,32,10000,0.8516949415206909
eng,bow,10,10000.0,1.0,128,10000,0.8326271176338196
eng,bow,10,,0.1,32,28149,0.8580508232116699
eng,bow,10,,0.1,128,28149,0.866525411605835
eng,bow,10,,1.0,32,28149,0.8580508232116699
eng,bow,10,,1.0,128,28149,0.8580508232116699
eng,tfidf,0,10000.0,0.1,32,10000,0.8495762944221497
eng,tfidf,0,10000.0,0.1,128,10000,0.2118644118309021
eng,tfidf,0,10000.0,1.0,32,10000,0.8728813529014587
eng,tfidf,0,10000.0,1.0,128,10000,0.8622881174087524
eng,tfidf,0,,0.1,32,604803,0.7563559412956238
eng,tfidf,0,,0.1,128,604803,0.2118644118309021
eng,tfidf,0,,1.0,32,604803,0.866525411605835
eng,tfidf,0,,1.0,128,604803,0.8559321761131287
eng,tfidf,3,10000.0,0.1,32,10000,0.8538135886192322
eng,tfidf,3,10000.0,0.1,128,10000,0.6440678238868713
eng,tfidf,3,10000.0,1.0,32,10000,0.883474588394165
eng,tfidf,3,10000.0,1.0,128,10000,0.8559321761131287
eng,tfidf,3,,0.1,32,104024,0.8114407062530518
eng,tfidf,3,,0.1,128,104024,0.2118644118309021
eng,tfidf,3,,1.0,32,104024,0.8622881174087524
